Column1;areal;befolkning;beskrivelse;besteget;dato;hoyde2;hoyde;kommunenavn;kommunenr;lat;lng;topp;length;dateandtime;tottime;stop_time;walk_time;pause_faktor;avg_speed;elediff;climbing;steepness;climbingrate;kupert_faktor;topptur_faktor;Walk;Ski;Cycle;startPointLat;startPointLon;endPointLat;endPointLon;closestPoint;Dublicate;crc32_hash
91;326.5;3000;Startet på turen fra motsatt side av fjellet i forhold til det mange andre som gikk opp på turen gjorde. Tok bomvei opp fra Laukeland (50 kr) og parkerte ved Nedre Laukelandsstølen. Derfra gikk det sakte men sikkert opp til DNT- hytta Massbu som fungerte som basecamp. Fra Massbu gikk turen rett nordover opp brattura til Blåegga. Fulgte ryggen vestover til Nipevatnet. Ryggen er oversiktlig men ikke akkurat lettgått da fjellformasjoner har laget flere bratte skrenter som krever bruk av både hender og føtter. Fra Nipevatnet gikk jeg ryggen opp fra Blægjeskardet som var nok et parti som krevde bruk av hender i tillegg til føtter. Mange varder på toppen, noe som ikke var så rart da hele toppen var en eneste stor ur av sandstein med ekstremt god friksjon. Tilbake igjen brukte jeg mer eller mindre samme rute. På strategiske plasser hadde jeg laget punkter på GPSen for å ikke bruke for mye tid til å finne rett sted å gå nedover. Ned ura fra Blåegga kjente jeg at det er lenge siden jeg har gått i nedoverbakker. Musklene i lårene var nærmest borte og i gressbakkene var det fristene å sette seg på rompa for å ake ned. Været var aldeles upåklagelig, T-skjorte og shorts hele veien. Av dyreliv så jeg både hjort og padde. Etter nok en god natts søvn på Massbu sammen med resten av teamet på basecamp og noen maur, gikk turen tilbake til bilen.;SANN;19.07.2018;1303.7;1304.0;Askvoll;1428;61.42424448;5.510856126;Blægja;14.0;2018-07-18 13:29:42;1 day, 19:22:50;1 day, 14:37:27;4:45:23;89.0;2.94;1075.7;1331.4;190.3;9.3;1.24;82.1;13996.4;0.0;0.0;61.398542;5.453864;61.398527;5.45398;1.8201759729810525;USANN;3004432584.0
184;639.91;25602; For andre gang på to dager parkerte vi på en snuplass med parkering forbudt… Askøy hadde gjort en meget god jobb med å snekre og rydde sti til toppen, men P-plass langs fv. 5256 var ikke beregnet for alt for store bobiler. Stien er merket med Askøy på langs, og det var snekret sammen haugevis av klopper og lagd trapper om det skulle være noe punkter med litt høydeforskjell. På turen var det også pyntet med trær som hadde fått øyne. Dette kan ikke være langt ifra den kommunetoppen i Norge som har fått best tilrettelagt sti, om man ser bort ifra de toppene som har fått bilvei til toppen. På toppen var det satt opp en bu, der en gjeng ungdommer hadde overnattet i hengekøyer, og spiste potetgull og spilte kort når vi kom opp. S,A og R var med til topps. ;SANN;26.07.2021;231.1;231.0;Askøy;1247;60.4365343;5.20964651;Kolbeinsvarden;2.86;2021-07-26 08:11:31;1:45:40;0:43:55;1:01:45;41.6;2.78;173.6;181.6;127.2;5.9;1.05;76.8;2856.1;0.0;0.0;60.446323;5.200288;60.446319;5.200103;1.1358404619373355;USANN;488984756.0
417;251.45;1660;;USANN;;578.1;578.0;Audnedal;1027;58.49336236;7.37534274;Ørnemyrfjellet;;;;;;;;;;;;;;;;;;;;;;;
54;58.91;3249;Starten på stien opp til Eidskremheia var markert med et «Stikk ut» skilt. Skiltet var ikke veldig tydelig, men godt nok for alle som måtte lete etter denne stien. Det var god plass for en bil på motsatt side av veien. Turen begynte i skogen og det gikk bratt oppover. De første 200 høydemetrene var de tyngste. Stien var god markert hele veien til toppen, både med skilt og med røde merker. Utsikten var dårlig denne dagen, det var lett regn, og vi hadde det litt travelt for å nå ferja videre til Aukra, så denne toppen ble ingen veldig stor opplevelse. På vei ned lettet skyene noe, og man kunne se antydning til god utsikt utover havet. Dette er sikkert en fin tur i godt vær.;SANN;25.06.2013;492.7;493.0;Aukra;1547;62.75397701;7.01916293;Eikremheia;5.82;2013-06-25 08:22:06;1:47:16;0:07:59;1:39:17;7.4;3.51;450.4;512.4;176.2;10.3;1.14;90.9;5816.3;0.0;0.0;62.7592195384;7.0008846279;62.759193806;7.0008324087;5.917201942987125;USANN;3980060482.0
22;643.94;3523;Stabben var helgens kommunetopp-mål. Kjørte på lørdagsformiddag fra Trondheim til fergeleiet på Hennset i Halsa kommune. Der ble det en liten sykletur mens man ventet på ferja, men turen ble ikke så lang siden kjedet på sykkelen røk i første oppoverbakke. Overnattet på turistforeningshytta Nersetra i et fint oppusset stabbur. Det var fest på hovedhuset, men i stabburet var vi alene.Kjørte videre til Innerberg på søndag og parkerte bilen på en parkeringsplass der grusveien stoppet og traktorveien startet. Fulgte traktorveien videre til stolpe 29 der det stod et skilt med Innerbergssalen. Derifra gikk det en sti oppover i lia, en sti som trenger å bli mer brukt for enkelte steder var den ganske utydelig, men med litt indianerteft var den mulig å følge til tregrensen. Fra tregrensen til selve toppen gikk vi strakeste veien. Det var mye steinur og bratt opp den veien. På toppen var det en kjempevarde, og veldig god utsikt. Trollheimen og Sunndalsfjellene var dekket av snø. På vei opp til Stabben så vi bare noen få, enslige snøflekker.;SANN;23.10.2011;907.9;908.0;Aure;1576;63.17137318;8.219870716;Innerbergsalen(Stabben);7.43;2011-10-23 07:33:49;3:23:37;1:02:33;2:21:04;30.7;3.16;882.5;873.4;235.1;12.4;0.99;96.2;7428.8;0.0;0.0;63.163831774145365;8.195957439020276;63.164062947034836;8.195516131818295;6.109492525645032;USANN;1742008605.0
377;1467.86;1689;;USANN;;1809.2;1809.0;Aurland;1421;60.95836157;7.27061067;Blåskavlen;;;;;;;;;;;;;;;;;;;;;;;
60;961.66;14632;Etter 4,1 km fra avkjørselen skiltet mot Søndre Mangen (fra Bjørkelangen) gikk det opp en anonym grusvei sperret med bom. Parkerte bilen der, og tok så sykkelen fatt oppover grusveien. Grusveien stoppet ved en radiomast. De siste 200 meterne foregikk uten sykkelen, over en myr og over litt blåbærlyng, og så var man der. På toppen var det en bøyd aluminiumsstang, men lite utsikt. ;SANN;02.07.2013;393.2;393.0;Aurskog-Høland;221;59.92947587;11.63573327;Sommerfjøstoppen;4.29;2013-07-02 08:38:18;0:25:52;0:05:18;0:20:34;20.5;12.5;131.7;149.0;69.5;14.5;1.13;32.9;544.0;0.0;3741.3;59.921219442;11.6493462212;59.9211683962;11.649287045;2.1314337168075976;USANN;3934936581.0
189;117.22;4680;Etter en overnatting på fergeleia i Sandvikvåg, tok vi syklene med på ferga over til Husavik i Austvoll. Jeg og S. satte kursen mot toppen, mens R. og A. lette etter en badeplass. Sykkelturen var først et stykke på asfalt, før det ble traktorvei fra Otteråvannet og et lite stykke mot Trollhaugen. Etter å ha parkert sykkelene fulgte vi først en lite brukt traktorvei, før alt av stier forsvant. Enkelte steder føltes det nærmest som om vi var i jungelen, med store bregner, myr og ulendt terreng som måtte forseres. Heldigvis kom vi etterhvert innpå en liten sti, som tilslutt møtte hovedstien opp til toppen. På toppen var det utsiktstårn, og det var flere andre på vei til toppen. De reklamerte stort for den nye turhytta som var satt opp noen hundre meter nedenfor toppen, så vi måtte en tur innom og titte på denne. Denne veien var det god sti med både trapper og klopper, og etterhvert gruslagt. Tilbaketuren som gikk en litt annen rute mer mot vest, var langt bedre med tanke på framkommelighet og sterkt å anbefale. Turen ble avsluttet med et bad i Vinnesvannet, før det ble fergetur tilbake til Sandvikvåg. ;SANN;01.08.2021;243.5;243.0;Austevoll;1244;60.05015709;5.28151182;Loddo;15.0;2021-08-01 07:55:28;4:12:53;1:47:49;2:25:04;42.6;6.2;250.4;483.0;64.4;6.7;1.93;99.1;14996.2;0.0;0.0;60.01737;5.279467;60.017236;5.279082;1.1570993975941732;USANN;3967885901.0
93;1467.13;2789;Parkerte inne en anleggsvei ved Litlåsveien. Denne anleggsveien førte rett opp til 20 meter fra toppen, så det var bare å følge den. Det mest spennende på vei opp var når man kom til skiltet der det stod ‘Anleggsområde. Ferdsel på eget ansvar’. Toppen var grei å finne og var markert med et gammelt falmet kart festet fast i en stein. En eventuell utsikt ned til Mongstad var dekket med trær. Tok samme veien ned igjen. ;SANN;21.07.2018;109.2;109.0;Austrheim;1264;60.79466641;5.032422962;Litlåsfjellet;0.99;2018-07-21 15:15:16;0:10:03;0:02:24;0:07:39;23.9;7.79;64.4;63.9;128.7;16.7;0.99;54.9;993.7;0.0;0.0;60.7924627885;5.0301174726;60.7924483716;5.0301574543;0.7105708361249975;USANN;2454071735.0
72;431.69;5520;Atlanterhavsveien forbinder Averøy med fastlandet. Etter å ha kjørt slalåm mellom bobiler og turistfiskere, og i tillegg stoppet opp for at en møtende løpekonkurranse skulle passere, kom jeg meg over alle broene. Fotturen opp til Mekknøken startet fra en parkeringsplass med frivillig betaling opp fra Mork. Den første delen av turen gikk på bred sti og skogsbilvei. Der skogsbilveien stoppet fortsatte en sti hele veien til toppen. Det var nokså bra vær og flere andre som var på tur denne dagen. Jeg var på kommunetoppjakt, så jeg passerte både en barnefamilie og noen pensjonister på vei oppover. Etter å ha kommet opp de bratteste bakkene og over tåka, hadde jeg fri bane den siste, ganske flate kilometeren til toppunktet. I toppturboka så jeg at jeg absolutt ikke hadde vært førstemann opp til toppen i dag, noen hadde sogar hatt sin 79 tur til Mekknøken. Turen ned gikk ganske raskt.Før jeg igjen skulle kjøre slalåm mellom bobiler og turistfiskere langs Atlanterhavsveien, stoppet jeg på Kiwi for å handle Strandamør og potetsalat, og en is til dessert, for å fylle opp energireservene mine.;SANN;04.07.2015;751.0;751.0;Averøy;1554;62.97735287;7.57956817;Mekknoken;7.04;2015-07-04 12:54:11;1:35:10;0:09:26;1:25:44;9.9;4.92;622.5;629.7;179.0;14.7;1.01;82.3;7037.2;0.0;0.0;62.9610554315;7.5707189273;62.9609251767;7.5705933664;1.7219010167391962;USANN;1670654794.0
378;429.84;1343;;USANN;;1615.0;1615.0;Balestrand;1418;61.41351044;6.52896724;Sundfjordbjørnen;;;;;;;;;;;;;;;;;;;;;;;
326;842.28;2620;;USANN;;1724.0;1744.0;Ballangen;1854;68.24760311;17.17847785;Frostisen (Ruosstauiegna);;;;;;;;;;;;;;;;;;;;;;;
400;1496.93;5517;;USANN;;1572.3;1587.0;Balsfjord;1933;69.1004077;19.95389233;Vassdalsfjellet (på grense);;;;;;;;;;;;;;;;;;;;;;;
177;304.04;14030;Etter å tidligere på dagen ha gått hjem fra teltur i Kragerø, ble det gjort tid til en stopp i Bamble for å løpe opp på Hørsfjellet. Resten av familien ble værende på badeplassen ved Bamlevann. Det var laget til parkeringsplass for begge stedene. Løpeturen til Hørsfjellet ble dermed en god blanding av asfalt, skogsbilvei og noe sti. På turen til toppen var det satt opp flere informasjonstavler med diverse informasjon, men siden dette skulle være en relativt rask tur ble det ikke tid til å lese noe på dem. Det ble derimot en liten stopp på toppen for å ta standard toppbilder og se på utsikten i finværet. Vel nede igjen fant jeg de andre fortsatt lekende og lesende på badeplassen. Temperaturen innbød fortsatt ikke til noe bad.;SANN;25.04.2021;287.4;289.0;Bamble;814;59.00697899;9.51237799;Hørsfjell;8.88;2021-04-25 12:48:28;1:06:05;0:06:15;0:59:50;9.5;8.91;257.8;305.0;68.7;10.2;1.18;87.1;8880.5;0.0;0.0;59.013845;9.562994;59.013799;9.563006;3.0747883186671396;USANN;4196310300.0
401;2703.89;3942;;USANN;;1659.0;1659.0;Bardu;1922;68.55576368;19.35303838;Rohkunborri;;;;;;;;;;;;;;;;;;;;;;;
327;1222.17;1103;;USANN;;1636.5;1640.0;Beiarn;1839;66.73235485;14.4178855;Skjelåtinden;;;;;;;;;;;;;;;;;;;;;;;
223;294.09;907;Etter tidenes sommerferievær på Senja, bestemte jeg meg for at Breidtinden burde bli besteget i midnattssol. Startet oppover med sola i ryggen og Breidtinden i sikte. Men mørke skyer kom i motsatt retning, og med skyene kom både lyn, torden og regn. På 700-meters høyde ble det full retrett. Et nytt forsøk ble gjort morgenen etter. Regnskyllet som hadde vart i ca. 60 minutter natten før var borte som dugg for solen, og på nytt var det blå himmel og sol som gjaldt. Opp til 700 meter hadde jeg allerede gått, så å finne den blåmerket sti opp til ryggen var ingen problem. Ryggen er som beskrevet i diverse litteratur relativt luftig, og jeg var glad for at jeg ikke hadde blitt overrasket av regnvær dagen før. Men selv om ryggen var luftig, og klatrebevegelsene mine opp og ned til toppen ikke var direkte grasiøse gikk det nesten overraskende greit. Det var to steder som jeg passerte på vei opp, som jeg så for meg at kunne bli litt mer tricky på vei ned, men på begge stedene var det enklere å passere enn fryktet. Nedenfor ryggen møtte jeg et par som var på vei oppover, og litt senere en mann med staver. Idet jeg trykket på send på SMS for å bli hentet, føyk en rype opp rett framfor meg på stien og truet med å angripe meg fordi jeg nesten hadde tråkket på kyllingen hennes. Avslutningen på turen ble et bad i Eresfjorden. ;SANN;12.07.2023;1001.0;1000.0;Berg;1929;69.45173261;17.65618727;Breidtinden .;7.67;2023-07-12 08:51:23;3:26:23;0:59:41;2:26:42;28.9;3.14;970.6;986.0;257.1;13.4;1.02;97.1;7670.9;0.0;0.0;69.458698;17.595722;69.458694;17.595591;0.7014979754412413;USANN;2678866083.0
182;465.46;260392; Første kommunetopper i sommerferien 2021. Campingbilen ble manøvrert opp til utfartsparkeringen ved Hausdal, og der ble det satt basecamp i parkeringforbudt sonen på snuplassen. Sykkelen ble gjort klar, og benyttet opp til enden av veien ved Brekkevatnet hvor det ble parkert for første gang. Derifra var det å følge sti opp til Sveningen. Med merket rute på GPSen og varder langs stien var det få problemer å forstå hvor man burde gå. Planen var å holde godt tempo, men skjønte raskt at det ville bli tungt hvis man skulle komme seg gjennom hele den planlagte ruta i solsteiken. Det var varde på toppen, fikk tatt de obligatoriske bildene, før det var samme rute ned igjen. Rullet ca 1km på sykkelen nedover, før det på nytt var å ta beina fatt. Det var bratt, men bra sti opp til Sydpolen. Derifra var det vanskeligere å finne en fornuftig rute videre mot Gullfjellet. Ingen opplagt sti, og steiltstående og tett oppsprukket gneis gjorde at det var vanskelig å holde noe særlig fart uten særs høy risiko for overtråkk. Friksjonen var derimot eksepsjonell. Etterhvert kom man seg inn på en mer brukt sti, og behovet for hjerneaktivitet for å finne retningen ble mindre prekært. Det var kanskje greit for nå begynte kroppen å gå litt tom for energi. Mange store varder ledet vei opp til Gullfjellet, det var fortsatt bra vær på toppen. Valgte å ta en annen rute tilbake for å slippe høydemeterne opp til Sydpolen en gang til, selvom det betydde at man kom inn på grusveien et lite stykke nedenfor der sykkelen stod parkert. Igjen et lite stykke med mindre brukt sti nedenfor Toro, men alt i alt et godt valg. Det føltes svært godt å kunne sette seg på sykkelen og trille ned de siste kilometerne. Vel tilbake var også de fleste bilene på utfartsparkeringen dratt hjem, slik at vi kunne flytte campingbilen og ta kvelden på P-plassen. ;SANN;25.07.2021;987.4;987.0;Bergen;1201;60.38756355;5.59045384;Gullfjellet;28.19;2021-07-25 13:16:42;6:13:05;0:40:25;5:32:40;10.8;5.08;883.6;1878.2;133.2;11.3;2.13;90.2;20445.4;0.0;7747.4;60.333338;5.534092;60.333198;5.534236;7.235292351786149;USANN;3225004268.0
257;1120.48;1031;;USANN;;619.1;619.0;Berlevåg;2024;70.505482;28.79563106;Hanglefjellet;;;;;;;;;;;;;;;;;;;;;;;
328;1264.48;1592;;USANN;;1088.1;1078.0;Bindal;1811;65.25535226;12.98270986;Tjeldviktinden;;;;;;;;;;;;;;;;;;;;;;;
245;674.2;4776;;USANN;;531.1;645.0;Birkenes;928;58.54893926;8.03594619;Storemyrknuten;;;;;;;;;;;;;;;;;;;;;;;
402;73.61;476;;USANN;;987.0;987.0;Bjarkøy;1915;68.92498412;16.54686083;Skjellesvikgalten;;;;;;;;;;;;;;;;;;;;;;;
366;650.56;2651;;USANN;;907.1;907.0;Bjerkreim;1114;58.75798539;6.27392138;Vinjakula;;;;;;;;;;;;;;;;;;;;;;;
44;383.8;4570;Like vest for Høgås gård, sør for Seksortklumpen, var det laget til parkeringsplass. På parkeringsplassen ble bilen parkert. Vi fulgte traktorvei og stier oppover mot Tomasvatnene, og passerte mellom dem. Den litt utydelige stien vi gikk på førte mot en hytte, og vi fulgte denne stien litt for langt. Dette gjorde at når vi satte kursen rett mot toppen, måtte vi først gå opp, før det deretter gikk bratt ned på andre siden. På tilbaketuren fulgte vi myra vest for denne åsen, og det var mye lettere. I skråningen opp til Seksortklumpen så vi først et par skremte frosk. Litt høyere opp skråningen lå en huggorm og koste seg i lyngen. Fra toppen var det god utsikt i alle retninger, og det regnværet som vi til tider hadde, tok seg en lengre pause. Vi så en elg som gikk og gresset når vi satt i bilen på vei tilbake til hovedveien.;SANN;21.07.2012;492.5;490.0;Bjugn;1627;63.85264367;10.11139889;Seksortklumpen;10.93;2012-07-21 11:29:35;4:05:23;0:58:55;3:06:28;24.0;3.52;399.4;605.6;110.8;6.5;1.52;80.4;10934.6;0.0;0.0;63.8173805829;10.1176414266;63.8172309659;10.1177710947;0.11471158969101905;USANN;2214292481.0
329;1391.96;47847;;USANN;;1284.0;1284.0;Bodø;1804;67.08632049;14.74313919;Lurfjelltinden;;;;;;;;;;;;;;;;;;;;;;;
98;47.18;837;Parkerte nederst i bunn av grusveien som går hele veien til topps. Veien var stengt med bom og skiltet innkjøring forbudt for uvedkommende, så det var bare å snøre på seg løpeskoene og starte på turen opp. Det var jevn stigning hele veien til topps, her var det ingen flate partier å hvile seg på. Veien gjorde et par svinger før det gikk rett mot topps. På toppen var det satt opp kikkert og informasjonstavler om steder man kan se fra toppen. Dessverre var det tett tåke når jeg var oppe, så utsikten var null. Etter raskt å ha tatt de obligatoriske toppbildene og skumlest gjennom en av info-tavlene ble det naturligvis samme veien ned igjen. Vind og tåke på toppen, men ikke verre enn at det gikk greit med shorts og t-skjorte.;SANN;23.07.2018;293.3;293.0;Bokn;1145;59.22057314;5.427253048;Boknafjellet;2.65;2018-07-23 19:36:54;0:21:57;0:03:20;0:18:37;15.2;8.55;203.3;203.3;153.2;21.8;1.0;69.3;2653.9;0.0;0.0;59.216392;5.434806;59.216439;5.434593;0.4326173731230724;USANN;3437275490.0
379;832.45;3910;;USANN;;1670.1;1670.0;Bremanger;1438;61.80264565;5.8222799;Gjegnen (Blånibba);;;;;;;;;;;;;;;;;;;;;;;
330;1046.59;7719;;USANN;;1224.8;1224.0;Brønnøy;1813;65.3975083;12.9330715;Breivasstinden;;;;;;;;;;;;;;;;;;;;;;;
246;1311.66;1239;;USANN;;116182.0;1162.0;Bygland;938;58.97008672;7.29702105;Reinshornheii;;;;;;;;;;;;;;;;;;;;;;;
172;1467.13;989;Etter å ha ligget en dag å ventet på været på Berdalsbu ble forholdene absolutt glimrende for en topptur til Sæbyggjenuten. Etter flere dager med sommertemperaturer, ble det en natt med minusgrader og snøen ville vært perfekt for et hvilket som helst profesjonelt alpinrace. Turen startet tidlig i grålysningen og jeg fulgte Slækjeskaret opp fra hytta. Sola stod opp samtidig som meg, og jeg tenkte underveis at det var veldig greit å ikke ha tilsvarende tåke og vind som det jeg hadde to dager tidligere på Kvannefjellet. Skismøringen forsvant naturligvis i den aller første antydning til nedoverbakke. Jeg gjorde et tappert forsøk på å legge på mer klister ved 1233-vannet ca. 1 km før toppen, men klisteret var lite samarbeidsvillig i kulden, og jeg tror det eneste jeg oppnådde var å klisse ned hendene såpass at de nye skihandskene ikke var mulig å få på lengre. Det ble mest fiskebein resten av veien til toppen. På toppen var det hyggelige nok forhold til at jeg kunne knipse opptil flere bilder, og sette meg ned for å drikke opp den varme saften jeg hadde med. Tilbake til hytta gikk det fort og fint på skaren, men skiene ble etterhvert så glatte at oppoverbakkene ble gått på beina. Kom tilbake til hytta så tidlig at jeg også fikk være med å vaske ut, før ferden gikk videre ned mot Berdalen hyttegrend og årets påsketur var ferdig.;SANN;01.04.2021;1507.0;1507.0;Bykle;941;59.46179096;7.62562445;Sæbyggjenuten;57.06;2021-03-28 13:54:32;3 days, 22:27:09;3 days, 9:29:16;12:57:53;86.3;4.4;761.9;2280.3;79.9;5.9;2.99;49.2;0.0;57064.5;0.0;59.566293;7.368665;59.446982;7.429023;1.9417025779286452;USANN;641591441.0
110;192.32;112789;Miljøvennlig tur med start rett fra døra. Første navigasjonsmessige utfordring var å komme seg gjennom Sandvika for å kunne starte på oppoverbakkene til Lommedalen. Det ble ikke strakeste veien, men man kom seg da igjennom. Etter å ha syklet seg opp Lommedalen ble det å slite seg opp bakkene fra parkeringsplassen fra Tobonn. Hadde et tidligere forsøk på å komme meg til topps i Bærum, så hadde mindre problemer med navigasjonen Videvangshøgda, enn jeg hadde gjennom Sandvika. Fra Bærum sin høyeste topp fortsatte turen videre til Mørkereisåsen i Hole. Skiløypa nordover mellom toppen var forsåvidt grei å følge, men ikke akkurat sykkelvennlig. Trakk sykkelen med meg gjennom myrene, før jeg snørte på meg joggeskoene i bunn av Mørkereiåsen. Fant en sti som gikk et stykke oppover, men den stoppet ved en koie. Derfra ble det å klatre noen mindre skrenter før jeg var på toppen. Tok en litt annen vei ned fordi det så ut som om det gikk en sti nedover, men mistet den stien så etterhvert fulgte jeg stien jeg hadde gått opp. Skiftet tilbake til sykkelsko, og dro hjemover med de samme navigansjonsmessige problemene gjennom Sandvika. Det ble tilslutt en ganske lang tur. ;SANN;10.06.2019;552.7;552.0;Bærum;219;60.02314296;10.48420607;Punkt på Vidvangshøgda;72.25;2019-06-10 12:40:55;4:48:01;0:26:45;4:21:16;9.3;16.59;574.9;1262.7;35.0;9.7;2.2;98.7;2166.2;0.0;70082.7;59.822144;10.457792;59.822012;10.457973;2.0577670371744925;USANN;2765622036.0
35;263.21;5659;Parkerte på Jønnbu parkeringsplass (50kr) i tåka og tok på fjellskiene med feller, og startet oppover bakkene i Krintokleiva og Glekse. Oppe på fjellet ble fellene byttet med universalklister for å få litt større fart bortover vannene. På det første vannet gikk vi forbi løypepatruljen som sjekket istjukkelsen, og de kunne bekrefte at det fortsatt var mer enn tykk nok is. De kunne også fortelle at sola skinte 300 meter lengre framme, og det stemte. På selve Jøronnatten var det bra utsikt mot syd, men ganske tett skydekke nordover. På vei hjemover gikk vi forbi en gjeng som drev med isfiske på Småholman. På turen tilbake valgte også å prøve Oksladalen for å få en liten forandring i ruta. Der var det til tider litt lite snø og mye vegitasjon som måtte passeres.;SANN;17.03.2012;1273.5;1275.0;Bø;821;59.49011964;8.888311344;Jøronnatten (på grensa);21.55;2012-03-17 09:43:49;5:44:23;1:53:54;3:50:29;33.1;5.61;523.9;1007.0;93.5;8.7;1.92;41.2;0.0;21545.5;0.0;59.4769526739;9.0081023332;59.4768963475;9.0081315022;1.730673886619346;USANN;3517395654.0
331;247.23;2790;;USANN;;694.6;693.0;Bø;1867;68.71755064;14.48398435;Burnestinden;;;;;;;;;;;;;;;;;;;;;;;
